Probnr;Gruppe;Termin;Qualitat;A;B;C;D;E;F;G;H;Usab1;I;J;K;L;M;N;O;Usab2;TLXa;TLXb;TLXc;TLXd;TLXe;TLXf;TLX;Pa;Pb;Pc;Pd;Pe;Immersion
10;Flat;4;H;2;1;1;1;1;1;1;2;1,25;2;0;1;1;1;1;0;0,857142857;3;2;5;2;1;1;2,333333333;2;2;2;2;3;2,2
11;Sphere;4;N;1;1;1;1;-1;0;0;1;0,5;-2;1;1;2;-1;2;1;0,571428571;5;1;1;1;3;2;2,166666667;2;-2;3;-2;2;0,6
12;Flat;4;N;1;1;1;1;1;1;0;2;1;2;1;1;1;1;1;2;1,285714286;4;2;5;4;4;3;3,666666667;0;-2;-1;-2;-1;-1,2
13;Sphere;4;N;1;1;2;1;-1;2;1;2;1,125;1;-1;2;2;0;2;-1;0,714285714;2;1;2;2;1;3;1,833333333;-2;-2;1;0;-1;-0,8
14;Flat;4;N;2;2;2;1;2;2;1;2;1,75;1;2;2;2;1;2;2;1,714285714;3;1;1;1;2;2;1,666666667;2;2;2;0;0;1,2
15;Flat;4;N;-1;0;0;0;1;1;1;0;0,25;1;1;-1;0;0;-1;1;0,142857143;2;2;2;2;3;3;2,333333333;1;1;2;1;1;1,2
16;HMD;4;N;2;2;2;2;2;1;2;2;1,875;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1,166666667;2;2;3;2;2;2,2
17;Flat;4;N;2;1;2;1;0;2;1;1;1,25;1;-1;1;1;1;1;-1;0,428571429;6;2;5;1;1;2;2,833333333;3;2;2;2;3;2,4
18;HMD;4;H;-1;-1;-1;-1;-1;1;0;-1;-0,625;-1;1;1;0;-1;1;1;0,285714286;5;2;3;2;5;2;3,166666667;-2;1;1;1;-2;-0,2
19;Flat;4;H;1;1;1;0;1;0;1;1;0,75;1;-1;0;1;1;0;0;0,285714286;5;2;4;3;3;5;3,666666667;0;0;1;0;-1;0
20;Flat;4;N;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1,428571429;1;1;1;1;1;2;1,166666667;-2;-2;-1;-2;1;-1,2
21;Sphere;4;N;0;0;-1;-1;0;0;0;0;-0,25;-1;1;2;2;-1;1;0;0,571428571;6;5;4;3;4;2;4;-1;-1;0;-2;-1;-1
22;Sphere;4;N;1;1;0;0;1;2;0;1;0,75;1;1;1;2;1;1;2;1,285714286;5;2;2;2;5;3;3,166666667;-1;-1;2;-1;0;-0,2
23;Sphere;4;H;2;2;2;2;0;1;2;2;1,625;1;1;0;0;1;1;2;0,857142857;2;2;2;2;2;1;1,833333333;0;1;2;-1;1;0,6
24;HMD;4;H;2;2;2;2;2;2;1;2;1,875;2;1;2;0;1;1;1;1,142857143;2;1;1;3;1;2;1,666666667;2;1;2;1;1;1,4
25;HMD;4;N;-1;1;0;1;0;1;0;0;0,25;-2;0;1;1;1;2;-1;0,285714286;6;4;5;5;3;3;4,333333333;2;2;2;-1;-1;0,8
26;HMD;4;H;1;1;1;-1;1;-1;1;1;0,5;1;0;1;1;-1;0;0;0,285714286;5;2;3;4;3;5;3,666666667;1;0;2;-1;0;0,4
27;Sphere;4;H;0;-1;-1;1;-1;0;-1;-1;-0,5;-1;1;0;1;0;1;1;0,428571429;2;2;3;2;5;4;3;-1;-1;0;-1;-1;-0,8
28;HMD;4;N;0;0;1;1;0;0;0;0;0,25;0;-1;1;0;0;1;0;0,142857143;6;2;5;5;4;3;4,166666667;-1;-1;-1;1;-1;-0,6
29;Sphere;4;H;1;1;1;1;1;1;2;1;1,125;1;2;2;-1;1;2;2;1,285714286;2;1;2;2;2;1;1,666666667;3;3;3;-2;2;1,8
30;Sphere;4;H;-2;-2;-2;-2;2;-2;-2;-2;-1,5;-2;2;2;2;-2;2;2;0,857142857;7;7;7;7;7;7;7;3;3;-3;-3;3;0,6
